variant,canonical,source
驗,験,kJapaneseNewVariant
驛,駅,kJapaneseNewVariant
髓,髄,kJapaneseNewVariant
體,体,kJapaneseNewVariant
髙,高,manual
髮,髪,kJapaneseNewVariant
鬭,闘,kJapaneseNewVariant
鷄,鶏,kJapaneseNewVariant
鹽,塩,kJapaneseNewVariant
麥,麦,kJapaneseNewVariant
麵,麺,kJapaneseNewVariant
黃,黄,kJapaneseNewVariant
黑,黒,kJapaneseNewVariant
默,黙,kJapaneseNewVariant
點,点,kJapaneseNewVariant
黨,党,kJapaneseNewVariant
齊,斉,kJapaneseNewVariant
齋,斎,kJapaneseNewVariant
齒,歯,kJapaneseNewVariant
齡,齢,kJapaneseNewVariant
龍,竜,kJapaneseNewVariant
龜,亀,kJapaneseNewVariant
欄,欄,kJapaneseNewVariant
廊,廊,kJapaneseNewVariant
朗,朗,kJapaneseNewVariant
虜,虜,kJapaneseNewVariant
殺,殺,kJapaneseNewVariant
類,類,kJapaneseNewVariant
隆,隆,kJapaneseNewVariant
塚,塚,kJapaneseNewVariant
﨑,崎,manual
神,神,kJapaneseNewVariant
祥,祥,kJapaneseNewVariant
福,福,kJapaneseNewVariant
諸,諸,kJapaneseNewVariant
都,都,kJapaneseNewVariant
侮,侮,kJapaneseNewVariant
僧,僧,kJapaneseNewVariant
免,免,kJapaneseNewVariant
勉,勉,kJapaneseNewVariant
勤,勤,kJapaneseNewVariant
卑,卑,kJapaneseNewVariant
喝,喝,kJapaneseNewVariant
嘆,嘆,kJapaneseNewVariant
器,器,kJapaneseNewVariant
塀,塀,kJapaneseNewVariant
墨,墨,kJapaneseNewVariant
層,層,kJapaneseNewVariant
悔,悔,kJapaneseNewVariant
慨,慨,kJapaneseNewVariant
憎,憎,kJapaneseNewVariant
懲,懲,kJapaneseNewVariant
敏,敏,kJapaneseNewVariant
既,既,kJapaneseNewVariant
暑,暑,kJapaneseNewVariant
梅,梅,kJapaneseNewVariant
海,海,kJapaneseNewVariant
漢,漢,kJapaneseNewVariant
煮,煮,kJapaneseNewVariant
碑,碑,kJapaneseNewVariant
社,社,kJapaneseNewVariant
祉,祉,kJapaneseNewVariant
祈,祈,kJapaneseNewVariant
祖,祖,kJapaneseNewVariant
祝,祝,kJapaneseNewVariant
禍,禍,kJapaneseNewVariant
穀,穀,kJapaneseNewVariant
突,突,kJapaneseNewVariant
節,節,kJapaneseNewVariant
練,練,kJapaneseNewVariant
繁,繁,kJapaneseNewVariant
署,署,kJapaneseNewVariant
者,者,kJapaneseNewVariant
臭,臭,kJapaneseNewVariant
著,著,kJapaneseNewVariant
褐,褐,kJapaneseNewVariant
視,視,kJapaneseNewVariant
謁,謁,kJapaneseNewVariant
謹,謹,kJapaneseNewVariant
賓,賓,kJapaneseNewVariant
贈,贈,kJapaneseNewVariant
逸,逸,kJapaneseNewVariant
難,難,kJapaneseNewVariant
響,響,kJapaneseNewVariant
頻,頻,kJapaneseNewVariant
